Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,06/02/2016,Guayaquil City FC,Mushuc Runa,3,1,H
EC1,06/02/2016,Emelec,Universidad Católica (Quito),2,2,D
EC1,07/02/2016,Independiente del Valle,Deportivo Cuenca,2,1,H
EC1,07/02/2016,El Nacional,Barcelona SC,2,1,H
EC1,07/02/2016,Delfín,Liga de Quito,2,0,H
EC1,07/02/2016,Fuerza Amarilla,Aucas,2,1,H
EC1,13/02/2016,Deportivo Cuenca,El Nacional,0,0,D
EC1,13/02/2016,Universidad Católica (Quito),Fuerza Amarilla,1,0,H
EC1,13/02/2016,Aucas,Guayaquil City FC,3,1,H
EC1,14/02/2016,Mushuc Runa,Emelec,0,3,A
EC1,14/02/2016,Barcelona SC,Delfín,2,1,H
EC1,17/02/2016,Fuerza Amarilla,Mushuc Runa,0,0,D
EC1,18/02/2016,Delfín,Deportivo Cuenca,2,1,H
EC1,18/02/2016,Universidad Católica (Quito),Aucas,0,1,A
EC1,18/02/2016,Guayaquil City FC,Barcelona SC,0,3,A
EC1,21/02/2016,El Nacional,Delfín,2,0,H
EC1,21/02/2016,Mushuc Runa,Universidad Católica (Quito),2,1,H
EC1,21/02/2016,Barcelona SC,Fuerza Amarilla,2,1,H
EC1,23/02/2016,Deportivo Cuenca,Emelec,0,1,A
EC1,27/02/2016,Fuerza Amarilla,Liga de Quito,1,0,H
EC1,28/02/2016,Guayaquil City FC,Deportivo Cuenca,1,3,A
EC1,28/02/2016,Aucas,Mushuc Runa,1,1,D
EC1,28/02/2016,Universidad Católica (Quito),Barcelona SC,1,0,H
EC1,01/03/2016,Emelec,El Nacional,0,1,A
EC1,05/03/2016,Independiente del Valle,Emelec,0,2,A
EC1,06/03/2016,El Nacional,Guayaquil City FC,1,0,H
EC1,06/03/2016,Deportivo Cuenca,Fuerza Amarilla,3,0,H
EC1,06/03/2016,Liga de Quito,Universidad Católica (Quito),1,1,D
EC1,06/03/2016,Delfín,Mushuc Runa,1,1,D
EC1,06/03/2016,Barcelona SC,Aucas,3,0,H
